Exact Jaccard Similarities (>= 0.5):
151 - 474 : 0.52
194 - 271 : 0.52
194 - 293 : 0.54
194 - 311 : 0.54
194 - 328 : 0.5
194 - 343 : 0.5
194 - 407 : 0.5
194 - 450 : 0.53
194 - 474 : 0.5
194 - 650 : 0.55
194 - 653 : 0.54
194 - 716 : 0.57
194 - 788 : 0.51
194 - 881 : 0.53
197 - 600 : 0.54
197 - 826 : 0.63
198 - 653 : 0.5
222 - 293 : 0.54
222 - 393 : 0.51
222 - 551 : 0.51
222 - 682 : 0.55
222 - 881 : 0.51
234 - 308 : 0.55
234 - 406 : 0.52
234 - 450 : 0.51
234 - 474 : 0.56
241 - 544 : 0.5
271 - 533 : 0.51
271 - 716 : 0.53
276 - 303 : 0.53
276 - 551 : 0.53
276 - 682 : 0.56
293 - 303 : 0.51
293 - 334 : 0.52
293 - 407 : 0.5
293 - 416 : 0.53
293 - 429 : 0.5
293 - 450 : 0.52
293 - 788 : 0.5
301 - 886 : 0.51
303 - 416 : 0.53
303 - 429 : 0.51
308 - 406 : 0.53
308 - 537 : 0.52
313 - 326 : 0.51
313 - 650 : 0.5
328 - 551 : 0.53
328 - 788 : 0.68
353 - 784 : 0.5
366 - 604 : 0.51
366 - 814 : 0.54
368 - 604 : 0.51
393 - 416 : 0.51
393 - 682 : 0.53
393 - 880 : 0.53
400 - 544 : 0.52
400 - 687 : 0.51
405 - 537 : 0.5
405 - 846 : 0.5
406 - 429 : 0.51
408 - 898 : 0.85
416 - 682 : 0.52
429 - 450 : 0.5
429 - 864 : 0.53
435 - 472 : 0.51
435 - 682 : 0.54
450 - 474 : 0.55
450 - 716 : 0.54
451 - 489 : 0.55
451 - 587 : 0.5
474 - 537 : 0.56
474 - 716 : 0.53
474 - 840 : 0.51
489 - 587 : 0.66
489 - 724 : 0.53
497 - 648 : 0.51
544 - 750 : 0.5
544 - 808 : 0.52
551 - 682 : 0.57
551 - 864 : 0.51
551 - 886 : 0.5
554 - 764 : 0.54
589 - 853 : 0.5
600 - 826 : 0.59
648 - 650 : 0.52
648 - 804 : 0.5
650 - 653 : 0.52
650 - 774 : 0.54
650 - 788 : 0.5
653 - 804 : 0.53
653 - 881 : 0.53
674 - 879 : 0.55
682 - 880 : 0.51
724 - 863 : 0.55
749 - 804 : 0.51
750 - 853 : 0.5
864 - 886 : 0.5
False Positives: 26.0
False Negatives: 0.2
MinHash Similarities with 200 hash functions (>= 0.5):
7 - 234 : 0.52
7 - 308 : 0.51
7 - 450 : 0.52
7 - 650 : 0.505
7 - 846 : 0.505
13 - 416 : 0.51
13 - 450 : 0.52
18 - 59 : 0.515
18 - 151 : 0.505
18 - 234 : 0.515
18 - 406 : 0.505
18 - 437 : 0.515
59 - 151 : 0.56
59 - 234 : 0.54
59 - 308 : 0.535
59 - 406 : 0.565
59 - 429 : 0.545
59 - 437 : 0.51
59 - 450 : 0.525
59 - 474 : 0.53
59 - 524 : 0.505
59 - 537 : 0.62
59 - 716 : 0.52
59 - 846 : 0.505
59 - 870 : 0.505
59 - 916 : 0.5
60 - 716 : 0.51
85 - 406 : 0.56
90 - 234 : 0.51
90 - 537 : 0.5
92 - 276 : 0.535
92 - 303 : 0.505
92 - 378 : 0.515
92 - 393 : 0.515
92 - 435 : 0.51
92 - 864 : 0.54
92 - 896 : 0.51
94 - 194 : 0.51
94 - 222 : 0.54
94 - 268 : 0.5
94 - 276 : 0.545
94 - 293 : 0.535
94 - 301 : 0.515
94 - 303 : 0.525
94 - 378 : 0.51
94 - 387 : 0.505
94 - 399 : 0.52
94 - 417 : 0.515
94 - 429 : 0.58
94 - 435 : 0.535
94 - 450 : 0.54
94 - 551 : 0.505
94 - 682 : 0.545
94 - 749 : 0.52
94 - 804 : 0.5
94 - 864 : 0.535
94 - 896 : 0.54
94 - 916 : 0.53
109 - 222 : 0.505
130 - 276 : 0.525
130 - 880 : 0.505
141 - 938 : 0.53
151 - 450 : 0.515
151 - 474 : 0.515
151 - 716 : 0.53
178 - 429 : 0.505
178 - 896 : 0.5
194 - 293 : 0.525
194 - 301 : 0.515
194 - 308 : 0.51
194 - 311 : 0.555
194 - 313 : 0.52
194 - 429 : 0.55
194 - 561 : 0.5
194 - 716 : 0.525
194 - 864 : 0.525
194 - 916 : 0.51
197 - 826 : 0.55
222 - 276 : 0.51
222 - 280 : 0.5
222 - 301 : 0.5
222 - 378 : 0.52
222 - 399 : 0.53
222 - 416 : 0.53
222 - 429 : 0.505
222 - 551 : 0.51
222 - 682 : 0.555
222 - 749 : 0.52
222 - 864 : 0.505
222 - 880 : 0.515
234 - 293 : 0.52
234 - 308 : 0.565
234 - 406 : 0.555
234 - 429 : 0.505
234 - 450 : 0.57
234 - 474 : 0.55
234 - 537 : 0.555
234 - 561 : 0.525
234 - 716 : 0.55
234 - 747 : 0.52
268 - 276 : 0.52
268 - 303 : 0.52
271 - 474 : 0.515
271 - 716 : 0.53
276 - 293 : 0.52
276 - 303 : 0.56
276 - 363 : 0.5
276 - 399 : 0.505
276 - 416 : 0.52
276 - 435 : 0.51
276 - 551 : 0.55
276 - 682 : 0.53
276 - 880 : 0.53
276 - 896 : 0.51
293 - 301 : 0.5
293 - 303 : 0.57
293 - 308 : 0.52
293 - 363 : 0.51
293 - 416 : 0.515
293 - 429 : 0.56
293 - 450 : 0.565
293 - 474 : 0.535
293 - 524 : 0.5
293 - 537 : 0.5
293 - 561 : 0.505
293 - 749 : 0.53
293 - 796 : 0.5
293 - 896 : 0.55
301 - 429 : 0.52
301 - 682 : 0.53
301 - 749 : 0.525
301 - 804 : 0.515
301 - 864 : 0.525
301 - 892 : 0.5
303 - 416 : 0.555
303 - 429 : 0.51
303 - 450 : 0.51
303 - 682 : 0.5
303 - 889 : 0.505
303 - 896 : 0.52
308 - 313 : 0.51
308 - 389 : 0.505
308 - 406 : 0.52
308 - 429 : 0.54
308 - 450 : 0.505
308 - 474 : 0.53
308 - 537 : 0.525
308 - 561 : 0.515
308 - 650 : 0.545
311 - 429 : 0.52
311 - 716 : 0.52
311 - 846 : 0.555
312 - 840 : 0.525
313 - 716 : 0.555
313 - 749 : 0.51
326 - 650 : 0.505
327 - 387 : 0.51
328 - 788 : 0.71
334 - 406 : 0.5
334 - 450 : 0.51
334 - 474 : 0.505
334 - 537 : 0.515
339 - 474 : 0.51
339 - 561 : 0.545
374 - 429 : 0.505
378 - 551 : 0.515
378 - 864 : 0.515
393 - 416 : 0.505
393 - 450 : 0.5
393 - 551 : 0.5
393 - 880 : 0.505
398 - 716 : 0.52
405 - 450 : 0.52
405 - 846 : 0.53
406 - 474 : 0.52
406 - 537 : 0.57
406 - 561 : 0.56
406 - 747 : 0.505
406 - 916 : 0.5
408 - 898 : 0.825
416 - 435 : 0.5
416 - 450 : 0.525
416 - 551 : 0.525
416 - 682 : 0.53
429 - 450 : 0.55
429 - 537 : 0.515
429 - 682 : 0.51
429 - 749 : 0.515
429 - 846 : 0.5
429 - 896 : 0.565
429 - 916 : 0.525
435 - 682 : 0.525
435 - 727 : 0.5
435 - 896 : 0.54
450 - 537 : 0.535
450 - 716 : 0.515
450 - 796 : 0.535
450 - 846 : 0.535
450 - 864 : 0.51
450 - 896 : 0.51
451 - 489 : 0.545
451 - 587 : 0.505
457 - 864 : 0.505
460 - 733 : 0.52
474 - 524 : 0.57
474 - 537 : 0.6
474 - 666 : 0.53
474 - 716 : 0.55
489 - 587 : 0.615
524 - 537 : 0.5
524 - 846 : 0.525
533 - 881 : 0.51
537 - 561 : 0.51
537 - 655 : 0.505
537 - 870 : 0.51
551 - 682 : 0.525
554 - 764 : 0.545
561 - 916 : 0.53
588 - 618 : 0.5
600 - 826 : 0.565
606 - 618 : 0.5
650 - 749 : 0.52
650 - 804 : 0.52
674 - 879 : 0.53
682 - 749 : 0.5
682 - 880 : 0.555
682 - 896 : 0.525
694 - 716 : 0.51
694 - 766 : 0.51
716 - 846 : 0.5
724 - 863 : 0.515
749 - 796 : 0.51
749 - 804 : 0.54
749 - 864 : 0.51
749 - 896 : 0.515
800 - 879 : 0.505
889 - 896 : 0.525
896 - 916 : 0.515
False Positives: 45.8
False Negatives: 0.2
Exact Jaccard Similarities (>= 0.5):
197 - 600 : 0.5
197 - 826 : 0.512987012987013
328 - 788 : 0.6729559748427673
408 - 898 : 0.8387096774193549
451 - 489 : 0.5333333333333333
489 - 587 : 0.6299212598425197
554 - 764 : 0.5170068027210885
600 - 826 : 0.5454545454545454
674 - 879 : 0.5217391304347826
800 - 879 : 0.5
MinHash Similarities with 50 hash functions (>= 0.5):
1 - 268 : 0.52
1 - 790 : 0.5
1 - 916 : 0.56
6 - 18 : 0.54
6 - 305 : 0.5
6 - 354 : 0.5
6 - 474 : 0.54
6 - 747 : 0.5
7 - 313 : 0.52
7 - 326 : 0.5
7 - 846 : 0.52
10 - 18 : 0.5
10 - 474 : 0.54
10 - 537 : 0.52
10 - 840 : 0.5
13 - 59 : 0.54
13 - 276 : 0.5
13 - 303 : 0.52
13 - 405 : 0.52
13 - 416 : 0.56
13 - 537 : 0.54
13 - 655 : 0.5
13 - 796 : 0.5
13 - 896 : 0.5
18 - 59 : 0.5
18 - 85 : 0.54
18 - 95 : 0.52
18 - 128 : 0.56
18 - 151 : 0.6
18 - 184 : 0.52
18 - 194 : 0.58
18 - 234 : 0.54
18 - 269 : 0.54
18 - 271 : 0.6
18 - 299 : 0.64
18 - 305 : 0.58
18 - 308 : 0.5
18 - 344 : 0.5
18 - 354 : 0.54
18 - 389 : 0.5
18 - 401 : 0.5
18 - 406 : 0.66
18 - 437 : 0.52
18 - 450 : 0.56
18 - 452 : 0.5
18 - 457 : 0.5
18 - 474 : 0.58
18 - 533 : 0.54
18 - 536 : 0.5
18 - 537 : 0.56
18 - 561 : 0.5
18 - 639 : 0.5
18 - 716 : 0.62
18 - 747 : 0.56
18 - 840 : 0.52
18 - 878 : 0.5
18 - 881 : 0.5
23 - 295 : 0.52
42 - 618 : 0.5
49 - 276 : 0.5
49 - 880 : 0.5
56 - 311 : 0.52
56 - 330 : 0.5
56 - 457 : 0.54
56 - 472 : 0.56
56 - 484 : 0.5
56 - 487 : 0.5
56 - 864 : 0.56
56 - 881 : 0.5
56 - 892 : 0.5
59 - 151 : 0.52
59 - 222 : 0.52
59 - 269 : 0.5
59 - 276 : 0.5
59 - 303 : 0.56
59 - 308 : 0.5
59 - 399 : 0.52
59 - 406 : 0.52
59 - 416 : 0.5
59 - 417 : 0.5
59 - 457 : 0.5
59 - 533 : 0.5
59 - 537 : 0.56
59 - 747 : 0.52
59 - 804 : 0.52
59 - 916 : 0.54
60 - 474 : 0.54
60 - 716 : 0.5
60 - 892 : 0.52
62 - 276 : 0.5
62 - 514 : 0.5
62 - 864 : 0.5
64 - 757 : 0.56
85 - 194 : 0.5
85 - 406 : 0.54
85 - 437 : 0.52
85 - 474 : 0.5
92 - 222 : 0.52
92 - 378 : 0.5
92 - 533 : 0.5
92 - 551 : 0.5
92 - 749 : 0.52
92 - 880 : 0.54
92 - 881 : 0.52
94 - 222 : 0.56
94 - 276 : 0.54
94 - 293 : 0.5
94 - 301 : 0.5
94 - 393 : 0.52
94 - 435 : 0.5
94 - 487 : 0.52
94 - 551 : 0.5
94 - 653 : 0.54
94 - 682 : 0.6
94 - 880 : 0.5
95 - 194 : 0.52
95 - 271 : 0.5
95 - 276 : 0.52
95 - 293 : 0.52
95 - 311 : 0.5
95 - 457 : 0.52
95 - 487 : 0.5
95 - 561 : 0.52
95 - 727 : 0.52
95 - 864 : 0.52
109 - 222 : 0.56
109 - 290 : 0.5
109 - 407 : 0.5
109 - 653 : 0.58
109 - 933 : 0.52
112 - 284 : 0.52
128 - 151 : 0.5
128 - 184 : 0.54
128 - 299 : 0.52
128 - 437 : 0.52
128 - 716 : 0.5
130 - 497 : 0.5
143 - 356 : 0.52
151 - 184 : 0.5
151 - 234 : 0.52
151 - 269 : 0.54
151 - 271 : 0.54
151 - 406 : 0.52
151 - 429 : 0.5
151 - 437 : 0.52
151 - 450 : 0.5
151 - 454 : 0.5
151 - 474 : 0.5
151 - 716 : 0.66
151 - 747 : 0.52
178 - 327 : 0.52
184 - 299 : 0.5
184 - 406 : 0.5
184 - 437 : 0.5
194 - 269 : 0.54
194 - 293 : 0.5
194 - 311 : 0.62
194 - 313 : 0.52
194 - 327 : 0.5
194 - 339 : 0.52
194 - 452 : 0.52
194 - 474 : 0.5
194 - 537 : 0.5
194 - 653 : 0.6
194 - 716 : 0.54
194 - 749 : 0.5
194 - 804 : 0.5
194 - 846 : 0.52
194 - 881 : 0.64
194 - 892 : 0.58
194 - 897 : 0.52
197 - 600 : 0.56
197 - 826 : 0.54
200 - 472 : 0.52
200 - 727 : 0.5
201 - 268 : 0.5
201 - 276 : 0.66
201 - 291 : 0.5
201 - 293 : 0.66
201 - 303 : 0.52
201 - 327 : 0.52
201 - 405 : 0.56
201 - 416 : 0.5
201 - 417 : 0.54
201 - 450 : 0.52
201 - 896 : 0.5
207 - 457 : 0.5
207 - 543 : 0.54
207 - 870 : 0.5
217 - 600 : 0.5
217 - 671 : 0.56
222 - 268 : 0.5
222 - 276 : 0.54
222 - 291 : 0.52
222 - 303 : 0.52
222 - 311 : 0.52
222 - 327 : 0.56
222 - 393 : 0.54
222 - 399 : 0.54
222 - 407 : 0.5
222 - 416 : 0.54
222 - 417 : 0.62
222 - 429 : 0.54
222 - 435 : 0.5
222 - 457 : 0.5
222 - 472 : 0.5
222 - 577 : 0.5
222 - 653 : 0.54
222 - 727 : 0.52
222 - 804 : 0.58
222 - 846 : 0.5
222 - 864 : 0.5
222 - 880 : 0.58
222 - 916 : 0.5
234 - 305 : 0.5
234 - 308 : 0.56
234 - 312 : 0.58
234 - 389 : 0.5
234 - 406 : 0.6
234 - 429 : 0.5
234 - 450 : 0.6
234 - 474 : 0.62
234 - 537 : 0.6
234 - 716 : 0.54
234 - 747 : 0.52
234 - 846 : 0.52
234 - 932 : 0.58
246 - 943 : 0.5
249 - 654 : 0.5
249 - 916 : 0.5
267 - 495 : 0.54
267 - 749 : 0.5
267 - 774 : 0.52
268 - 276 : 0.64
268 - 293 : 0.56
268 - 363 : 0.5
268 - 417 : 0.54
268 - 487 : 0.52
268 - 497 : 0.54
268 - 551 : 0.56
268 - 682 : 0.5
268 - 727 : 0.68
269 - 271 : 0.54
269 - 293 : 0.5
269 - 305 : 0.5
269 - 450 : 0.6
269 - 474 : 0.54
269 - 747 : 0.52
269 - 846 : 0.52
271 - 305 : 0.5
271 - 343 : 0.5
271 - 378 : 0.5
271 - 406 : 0.5
271 - 429 : 0.5
271 - 450 : 0.52
271 - 537 : 0.5
271 - 870 : 0.5
276 - 291 : 0.62
276 - 293 : 0.68
276 - 301 : 0.52
276 - 303 : 0.68
276 - 387 : 0.52
276 - 393 : 0.52
276 - 399 : 0.62
276 - 405 : 0.54
276 - 416 : 0.64
276 - 417 : 0.62
276 - 429 : 0.5
276 - 435 : 0.5
276 - 450 : 0.5
276 - 487 : 0.56
276 - 551 : 0.64
276 - 682 : 0.56
276 - 727 : 0.58
276 - 796 : 0.52
276 - 864 : 0.54
276 - 880 : 0.5
276 - 886 : 0.54
276 - 896 : 0.5
276 - 916 : 0.62
290 - 881 : 0.5
290 - 892 : 0.5
291 - 303 : 0.56
291 - 487 : 0.56
291 - 551 : 0.52
291 - 727 : 0.5
291 - 916 : 0.5
293 - 303 : 0.54
293 - 311 : 0.5
293 - 405 : 0.5
293 - 416 : 0.54
293 - 429 : 0.56
293 - 450 : 0.56
293 - 487 : 0.58
293 - 551 : 0.62
293 - 561 : 0.5
293 - 682 : 0.5
293 - 727 : 0.54
293 - 889 : 0.5
293 - 896 : 0.54
293 - 916 : 0.52
295 - 536 : 0.52
297 - 654 : 0.5
297 - 883 : 0.5
299 - 354 : 0.58
299 - 406 : 0.6
299 - 537 : 0.54
299 - 747 : 0.52
301 - 435 : 0.52
301 - 487 : 0.54
301 - 551 : 0.56
301 - 622 : 0.52
301 - 660 : 0.5
301 - 682 : 0.52
301 - 916 : 0.54
301 - 943 : 0.54
303 - 308 : 0.5
303 - 399 : 0.52
303 - 416 : 0.62
303 - 417 : 0.52
303 - 429 : 0.5
303 - 450 : 0.52
303 - 551 : 0.54
303 - 682 : 0.5
303 - 864 : 0.52
303 - 880 : 0.54
303 - 889 : 0.5
303 - 916 : 0.54
305 - 474 : 0.58
305 - 537 : 0.58
305 - 747 : 0.56
308 - 313 : 0.52
308 - 389 : 0.54
308 - 429 : 0.52
308 - 716 : 0.5
308 - 846 : 0.54
308 - 892 : 0.5
311 - 429 : 0.5
311 - 450 : 0.52
311 - 454 : 0.52
311 - 487 : 0.54
311 - 650 : 0.52
311 - 653 : 0.52
311 - 749 : 0.5
311 - 846 : 0.52
311 - 864 : 0.5
311 - 892 : 0.54
312 - 406 : 0.52
312 - 474 : 0.5
312 - 716 : 0.54
312 - 932 : 0.54
313 - 326 : 0.54
313 - 389 : 0.52
313 - 650 : 0.5
313 - 716 : 0.54
313 - 846 : 0.5
313 - 881 : 0.52
313 - 892 : 0.66
320 - 826 : 0.5
327 - 406 : 0.54
327 - 417 : 0.52
327 - 537 : 0.52
327 - 561 : 0.56
328 - 627 : 0.54
328 - 788 : 0.72
339 - 823 : 0.5
339 - 892 : 0.5
343 - 533 : 0.54
344 - 406 : 0.5
346 - 495 : 0.5
346 - 551 : 0.52
346 - 653 : 0.6
346 - 774 : 0.5
346 - 943 : 0.5
347 - 521 : 0.52
363 - 472 : 0.5
363 - 487 : 0.52
363 - 727 : 0.54
363 - 757 : 0.5
367 - 368 : 0.52
378 - 437 : 0.52
378 - 450 : 0.52
378 - 864 : 0.5
389 - 474 : 0.5
389 - 716 : 0.54
389 - 846 : 0.54
393 - 551 : 0.5
393 - 642 : 0.54
393 - 682 : 0.5
393 - 880 : 0.56
394 - 472 : 0.54
394 - 757 : 0.5
394 - 933 : 0.5
398 - 716 : 0.52
398 - 892 : 0.52
399 - 417 : 0.56
405 - 429 : 0.5
405 - 450 : 0.52
405 - 846 : 0.52
406 - 450 : 0.56
406 - 474 : 0.52
406 - 537 : 0.56
406 - 561 : 0.52
406 - 716 : 0.5
406 - 747 : 0.5
406 - 870 : 0.5
406 - 932 : 0.5
407 - 650 : 0.58
407 - 896 : 0.5
408 - 898 : 0.8
416 - 417 : 0.52
416 - 450 : 0.52
416 - 457 : 0.5
416 - 551 : 0.6
416 - 682 : 0.5
416 - 727 : 0.52
416 - 889 : 0.54
416 - 916 : 0.52
417 - 497 : 0.54
417 - 561 : 0.5
417 - 727 : 0.5
429 - 435 : 0.5
429 - 450 : 0.5
429 - 551 : 0.5
429 - 650 : 0.5
429 - 727 : 0.54
429 - 846 : 0.54
429 - 864 : 0.5
429 - 889 : 0.54
429 - 916 : 0.5
435 - 487 : 0.52
435 - 682 : 0.52
435 - 880 : 0.5
437 - 533 : 0.5
437 - 747 : 0.5
442 - 709 : 0.5
450 - 474 : 0.5
450 - 551 : 0.5
450 - 650 : 0.54
450 - 682 : 0.5
450 - 846 : 0.62
450 - 896 : 0.54
451 - 721 : 0.54
452 - 840 : 0.52
452 - 881 : 0.52
452 - 892 : 0.56
453 - 943 : 0.5
454 - 716 : 0.52
457 - 514 : 0.52
457 - 533 : 0.5
457 - 543 : 0.5
457 - 864 : 0.54
460 - 733 : 0.54
472 - 660 : 0.5
472 - 727 : 0.5
472 - 805 : 0.5
472 - 864 : 0.52
472 - 881 : 0.52
474 - 535 : 0.56
474 - 537 : 0.56
474 - 716 : 0.56
474 - 747 : 0.54
474 - 932 : 0.52
477 - 904 : 0.64
487 - 551 : 0.56
487 - 622 : 0.5
487 - 682 : 0.5
487 - 715 : 0.52
487 - 727 : 0.56
487 - 749 : 0.52
487 - 864 : 0.58
487 - 886 : 0.52
487 - 896 : 0.54
487 - 943 : 0.56
489 - 587 : 0.58
495 - 545 : 0.5
495 - 749 : 0.5
495 - 774 : 0.5
497 - 682 : 0.52
497 - 727 : 0.5
497 - 790 : 0.54
510 - 812 : 0.5
524 - 881 : 0.52
533 - 881 : 0.54
536 - 892 : 0.58
537 - 561 : 0.5
537 - 747 : 0.56
537 - 883 : 0.52
537 - 896 : 0.54
537 - 916 : 0.5
551 - 653 : 0.52
551 - 682 : 0.68
551 - 727 : 0.56
551 - 889 : 0.54
551 - 896 : 0.52
551 - 916 : 0.6
551 - 943 : 0.52
554 - 764 : 0.62
561 - 727 : 0.5
561 - 881 : 0.5
561 - 896 : 0.52
586 - 943 : 0.56
587 - 724 : 0.5
600 - 671 : 0.54
600 - 826 : 0.54
606 - 665 : 0.5
618 - 864 : 0.54
622 - 886 : 0.54
627 - 653 : 0.5
627 - 943 : 0.5
648 - 881 : 0.56
650 - 727 : 0.58
650 - 749 : 0.5
650 - 804 : 0.5
650 - 846 : 0.52
650 - 881 : 0.5
650 - 892 : 0.5
650 - 896 : 0.54
653 - 774 : 0.5
653 - 881 : 0.5
653 - 892 : 0.54
653 - 916 : 0.52
